# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	5.828430e-02	2	1.000000e+00	5.478220e-02	2	false	GAMG	1.000000e+00	7.124910e-02	9	true
2             	smoothSolver	5.990270e-01	4.455660e-02	4	5.897740e-01	4.453890e-02	4	false	GAMG	3.269380e-02	2.985100e-03	4	true
3             	smoothSolver	2.334580e-01	1.739640e-02	4	2.026980e-01	1.536120e-02	4	false	GAMG	4.559670e-02	4.160320e-03	6	true
4             	smoothSolver	4.366940e-02	2.732920e-03	4	3.138730e-02	2.148150e-03	4	false	GAMG	2.923780e-01	2.765610e-02	5	true
5             	smoothSolver	2.430240e-01	1.806240e-02	4	1.856830e-01	1.397800e-02	4	false	GAMG	5.756750e-02	3.726390e-03	4	true
6             	smoothSolver	2.767490e-01	2.068810e-02	4	2.182330e-01	1.654630e-02	4	false	GAMG	6.348880e-02	4.659830e-03	6	true
7             	smoothSolver	9.234480e-02	6.314660e-03	4	8.231910e-02	5.888870e-03	4	false	GAMG	1.496880e-01	1.260190e-02	5	true
8             	smoothSolver	1.821960e-01	1.356530e-02	4	1.580590e-01	1.189300e-02	4	false	GAMG	5.691400e-02	4.178860e-03	4	true
9             	smoothSolver	9.493270e-02	7.060880e-03	4	7.363890e-02	5.592390e-03	4	false	GAMG	5.678200e-02	4.410440e-03	6	true
10            	smoothSolver	4.236520e-02	2.997520e-03	4	3.172230e-02	2.292720e-03	4	false	GAMG	2.381720e-01	1.674530e-02	5	true
11            	smoothSolver	1.067210e-01	7.970620e-03	4	8.282020e-02	6.219670e-03	4	false	GAMG	7.696970e-02	5.939960e-03	4	true
12            	smoothSolver	7.422680e-02	5.532050e-03	4	5.645790e-02	4.280270e-03	4	false	GAMG	8.394110e-02	6.396350e-03	6	true
13            	smoothSolver	4.215260e-02	3.012650e-03	4	3.480210e-02	2.557910e-03	4	false	GAMG	1.103990e-01	6.977310e-03	5	true
14            	smoothSolver	6.806080e-02	5.062320e-03	4	5.444060e-02	4.088260e-03	4	false	GAMG	6.104910e-02	5.099050e-03	4	true
15            	smoothSolver	3.640820e-02	2.676400e-03	4	2.506260e-02	1.894330e-03	4	false	GAMG	5.673030e-02	4.331730e-03	6	true
16            	smoothSolver	2.544830e-02	1.851970e-03	4	1.908700e-02	1.401180e-03	4	false	GAMG	3.493480e-01	3.392000e-02	4	true
17            	smoothSolver	4.132360e-02	3.091860e-03	4	3.174740e-02	2.379690e-03	4	false	GAMG	1.121710e-01	1.031630e-02	4	true
18            	smoothSolver	2.322710e-02	1.712460e-03	4	1.661890e-02	1.242940e-03	4	false	GAMG	1.480500e-01	8.129640e-03	6	true
19            	smoothSolver	1.963670e-02	1.415620e-03	4	1.546790e-02	1.143140e-03	4	false	GAMG	7.668580e-02	6.531390e-03	4	true
20            	smoothSolver	2.627270e-02	1.939930e-03	4	1.961320e-02	1.471970e-03	4	false	GAMG	5.388290e-02	4.899920e-03	4	true
21            	smoothSolver	1.474630e-02	1.063110e-03	4	9.018390e-03	6.706170e-04	4	false	GAMG	4.402120e-02	4.113560e-03	5	true
22            	smoothSolver	1.243320e-02	9.143790e-04	4	9.205900e-03	6.770430e-04	4	false	GAMG	1.128220e-01	9.596910e-03	4	true
23            	smoothSolver	1.547900e-02	1.159400e-03	4	1.210570e-02	9.026380e-04	4	false	GAMG	2.514880e-01	2.309680e-02	4	true
24            	smoothSolver	8.735870e-03	6.323300e-04	4	6.671670e-03	4.869460e-04	4	false	GAMG	8.932890e-02	7.681940e-03	5	true
25            	smoothSolver	9.366540e-03	6.635110e-04	4	7.200800e-03	5.304720e-04	4	false	GAMG	4.584150e-02	3.948990e-03	4	true
26            	smoothSolver	1.128000e-02	8.169110e-04	4	7.952410e-03	5.922600e-04	4	false	GAMG	3.586200e-02	3.148110e-03	4	true
27            	smoothSolver	7.650860e-03	5.437610e-04	4	4.531030e-03	3.288150e-04	4	false	GAMG	2.715270e-02	2.148910e-03	5	true
28            	smoothSolver	6.922970e-03	5.027510e-04	4	4.842410e-03	3.513810e-04	4	false	GAMG	3.844130e-02	3.218400e-03	4	true
