cl0,t/c,w_LE,section_area,TE_angle,ler
-0.03190818801522255,-0.0167895223045916,-0.5430653570808297,-0.6426287487561151,-1.1070468552291968,-2.4158667922122614
-0.3748733401298523,-0.004118678395127028,-0.18332344320534116,-0.5110583243566846,-0.0479060766017896,-0.23548038790553535
-0.07910527288913727,-0.34193024650188697,-0.5321107543552202,-0.7981397694113146,-0.9639731633037918,-0.8045105808224087
-0.1011798083782196,-0.16922465972338083,-0.0044957751364160786,-0.2599093763991351,-0.00983051479837435,-0.8045105808224087
-0.21021372079849243,-0.026019394076361408,-1.7049647741256388,-0.37041036825122564,-0.03396242858381401,-0.23548038790553535
-0.18834778666496277,-0.03483736122850244,-1.3593557210375162,-0.36615922782656257,-0.03445033964796365,-0.8045105808224087
-0.29422369599342346,-0.012409651256923462,-0.16635144851758307,-0.4802291146008739,-0.009721288552327394,-0.23548038790553535
-0.1736609935760498,-0.005936332646121587,-0.6623933042047255,-0.3556953956901415,-0.006293268032535984,-0.23548038790553535
-0.18718035519123077,-0.008124643249526869,-0.7054740495685949,-0.349340402064532,-0.02857524864449696,-0.23548038790553535
-0.16834309697151184,-0.02080539972460151,-0.5692984027796115,-0.353954607203748,-0.0324801571039685,-0.23548038790553535
-0.15871243178844452,-0.029136846818708085,-0.6353501076181599,-0.35764928152055886,-0.00875757049551064,-0.8045105808224087
-0.07157111912965775,-0.002111086557481021,-0.36178234415151117,-0.17343470133072125,-0.0038472018619412768,-0.8045105808224087
-0.34928348660469055,-0.002823808505656543,-0.3565454874715603,-0.5201193096854672,-0.05329949605152886,-0.23548038790553535
-0.19287776947021484,-0.0026948809436664494,-0.6623838619792389,-0.34926094154290266,-0.03584887476837569,-0.23548038790553535
-0.1137956753373146,-0.02231780778788811,-0.20449191442007023,-0.24529740679518802,-0.007965290858028443,-0.8045105808224087
-0.3142716586589813,-0.01312279865882507,-0.24781805167042298,-0.502273932564013,-0.011442859812033723,-0.23548038790553535
-0.17060209810733795,-0.008329826820160502,-0.6625205438080207,-0.354887181918223,-0.003445234712201962,-0.23548038790553535
