NODE,LABEL,VALUE
41540,1,-0.00164878
41437,1,-0.00090454
41519,1,-0.00015512
41518,1,0.000569
41580,1,0.00128295
41570,1,0.00198816
41574,1,0.00261706
41571,1,0.00261821
41708,1,0.00318544
41502,1,0.00382556
41504,1,0.00431697
41418,1,0.00491491
41423,1,0.00476867
41420,1,0.00532582
41500,1,0.00570187
41498,1,0.00570469
41698,1,0.00602208
41408,1,0.00652566
41510,1,0.00677179
41507,1,0.00677179
41686,1,0.00700492
41492,1,0.00745496
41497,1,0.00718521
41494,1,0.0076001
41859,1,0.0077231
41858,1,0.0077231
42285,1,0.00779515
42269,1,0.00817794
42272,1,0.00783005
41463,1,0.00819129
41465,1,0.00817711
41462,1,0.00817159
42290,1,0.00808436
42241,1,0.00839512
42245,1,0.00801869
41469,1,0.00832919
41471,1,0.00816142
41243,1,-0.00106978
41184,1,-0.00105601
41186,1,-0.0009703
41183,1,-0.00096788
41253,1,-0.00091037
41250,1,-0.00090035
41758,1,-0.0009518
41755,1,-0.00094101
42160,1,-0.00095282
41777,1,-0.00094835
41779,1,-0.00096654
41776,1,-0.00095517
42299,1,-0.00095959
41761,1,-0.00095959
41763,1,-0.00095959
41760,1,-0.00095723
41880,1,-0.00095054
41638,1,-0.00094597
41642,1,-0.00093486
41386,1,-0.00093708
41391,1,-0.0009193
41388,1,-0.00091709
41646,1,-0.00089941
41644,1,-0.00089941
41785,1,-0.00087305
41393,1,-0.00087085
41395,1,-0.00084666
41392,1,-0.00084034
41554,1,-0.00081408
41551,1,-0.00081189
42229,1,-0.00077743
42227,1,-0.0007736
42249,1,-0.00073893
41866,1,-0.00073893
41868,1,-0.00069861
41865,1,-0.00070077
42005,1,-0.00065866
42002,1,-0.00065537
42099,1,-0.00061384
41555,1,-0.00061384
41560,1,-0.00056214
41557,1,-0.00055928
41681,1,-0.00052985
41561,1,-0.00052715
41566,1,-0.00048282
41563,1,-0.0004824
41700,1,-0.00044099
41432,1,-0.00043871
41569,1,-0.00039545
41567,1,-0.00039541
41706,1,-0.00035465
41521,1,-0.00035278
41522,1,-0.00031058
41424,1,-0.00031058
41530,1,-0.00027081
41447,1,-0.00026937
41581,1,-0.00023145
41438,1,-0.00023345
41443,1,-0.00019554
41540,3,-0.00636834
41437,3,-0.00349231
41519,3,-0.00061648
41518,3,0.00226044
41580,3,0.00524886
41570,3,0.00813059
41574,3,0.01102954
41571,3,0.01103069
41708,3,0.0138357
41502,3,0.01662348
41504,3,0.01933611
41418,3,0.02202455
41423,3,0.02205882
41420,3,0.02464789
41500,3,0.02727363
41498,3,0.02727645
41698,3,0.02980558
41408,3,0.03229803
41510,3,0.03472963
41507,3,0.03473321
41686,3,0.03727894
41492,3,0.03967395
41497,3,0.03971891
41494,3,0.04201671
41859,3,0.04446953
41858,3,0.04446953
42285,3,0.04682375
42269,3,0.04912313
42272,3,0.04917355
41463,3,0.05148056
41465,3,0.05384319
41462,3,0.05383768
42290,3,0.05600402
42241,3,0.05819821
42245,3,0.05858659
41469,3,0.06090682
41471,3,0.06323173
41243,3,0.02486242
41184,3,0.02454478
41186,3,0.02400395
41183,3,0.02400395
41253,3,0.02317419
41250,3,0.0228596
41758,3,0.02321507
41755,3,0.02289559
42160,3,0.02272146
41777,3,0.02261478
41779,3,0.02261706
41776,3,0.02240144
42299,3,0.02229476
41761,3,0.02229476
41763,3,0.02229476
41760,3,0.02218809
41880,3,0.02218809
41638,3,0.02208142
41642,3,0.02208142
41386,3,0.02208364
41391,3,0.02197474
41388,3,0.02197695
41646,3,0.02197474
41644,3,0.02197695
41785,3,0.02187247
41393,3,0.02187027
41395,3,0.02187247
41392,3,0.02176577
41554,3,0.02176577
41551,3,0.02176796
42229,3,0.02165908
42227,3,0.02155455
42249,3,0.02155672
41866,3,0.02155455
41868,3,0.02145
41865,3,0.02145
42005,3,0.02134328
42002,3,0.0212387
42099,3,0.02113197
41555,3,0.02113197
41560,3,0.02071882
41557,3,0.02061575
41681,3,0.02095426
41561,3,0.02084945
41566,3,0.02074044
41563,3,0.02063561
41700,3,0.02063561
41432,3,0.02053074
41569,3,0.02042176
41567,3,0.02031688
41706,3,0.02031688
41521,3,0.02020995
41522,3,0.02010302
41424,3,0.02010504
41530,3,0.01999609
41447,3,0.01989115
41581,3,0.01989115
41438,3,0.01988916
41443,3,0.01989514
42710,1,-0.00164945
42606,1,-0.00090454
42695,1,-0.00015518
42694,1,0.000569
42780,1,0.00128349
42690,1,0.00198816
42692,1,0.00257344
