x,Cpi,Cpv,Qi,Qv,y
1,0.435,0.186,0,0.902,0.00126
0.9974774,0.303,0.18,0,0.905,0.001949
0.9929085,0.236,0.168,0,0.912,0.0031906
0.9870521,0.181,0.153,0,0.92,0.0047701
0.9801884,0.135,0.134,0,0.931,0.0066041
0.9724844,0.094,0.112,0,0.942,0.0086408
0.9640559,0.056,0.088,0,0.955,0.0108428
0.9549902,0.021,0.062,0,0.969,0.0131809
0.9453566,-0.012,0.034,0,0.983,0.0156311
0.9352124,-0.043,0.006,0,0.997,0.0181732
0.9246063,-0.073,-0.022,0,1.011,0.0207898
0.9135802,-0.102,-0.051,0,1.025,0.0234656
0.9021712,-0.13,-0.079,0,1.039,0.0261869
0.8904123,-0.157,-0.107,0,1.052,0.0289417
0.8783331,-0.183,-0.134,0,1.065,0.0317188
0.8659609,-0.209,-0.161,0,1.077,0.0345085
0.8533205,-0.235,-0.187,0,1.089,0.0373015
0.8404347,-0.26,-0.213,0,1.101,0.0400896
0.827325,-0.284,-0.238,0,1.113,0.0428651
0.8140113,-0.308,-0.263,0,1.124,0.0456211
0.8005122,-0.332,-0.287,0,1.134,0.0483511
0.7868454,-0.355,-0.311,0,1.145,0.051049
0.7730275,-0.378,-0.334,0,1.155,0.0537093
0.7590742,-0.401,-0.358,0,1.165,0.0563269
0.7450005,-0.424,-0.381,0,1.175,0.0588968
0.7308209,-0.447,-0.403,0,1.185,0.0614147
0.7165489,-0.469,-0.426,0,1.194,0.0638764
0.7021977,-0.492,-0.448,0,1.203,0.0662779
0.6877799,-0.514,-0.47,0,1.213,0.0686155
0.6733075,-0.536,-0.492,0,1.222,0.0708859
0.6587922,-0.559,-0.514,0,1.231,0.0730859
0.6442453,-0.581,-0.536,0,1.239,0.0752123
0.6296777,-0.603,-0.557,0,1.248,0.0772624
0.6150998,-0.625,-0.579,0,1.257,0.0792335
0.6005219,-0.648,-0.6,0,1.265,0.0811231
0.5859539,-0.67,-0.621,0,1.273,0.0829289
0.5714054,-0.693,-0.642,0,1.281,0.0846487
0.5568856,-0.716,-0.663,0,1.289,0.0862804
0.5424038,-0.739,-0.683,0,1.297,0.0878222
0.5279688,-0.762,-0.702,0,1.305,0.0892723
0.5135891,-0.785,-0.721,0,1.312,0.0906291
0.4992733,-0.809,-0.739,0,1.319,0.091891
0.4850295,-0.833,-0.755,0,1.325,0.0930568
0.4708659,-0.858,-0.772,0,1.331,0.0941252
0.4567901,-0.884,-0.802,0,1.343,0.0950951
0.44281,-0.91,-0.886,0,1.373,0.0959656
