ELEMENT,Surface,Cpv
2,P,-32.55773184
3,P,-12.71199744
4,P,-53.63712
5,P,-12.71199744
6,P,-12.71199744
7,P,-12.71199744
8,P,-12.71199744
9,P,-12.71199744
10,P,-12.71199744
11,P,-51.38436096
12,P,-53.63712
13,P,2.36003328
14,P,-16.19841024
15,P,-16.19841024
16,P,-16.19841024
17,P,-16.19841024
18,P,-16.19841024
19,P,-32.55773184
20,P,-16.19841024
21,P,-32.55773184
22,P,-16.19841024
23,P,-51.38436096
24,P,-51.38436096
25,P,-16.19841024
26,P,-16.19841024
27,P,-12.71199744
28,P,-12.71199744
29,P,-12.71199744
30,P,-12.71199744
31,P,-51.38436096
32,P,-51.38436096
33,P,-51.38436096
34,P,-16.19841024
35,P,-12.71199744
36,P,-12.71199744
37,P,-12.71199744
38,P,-12.71199744
39,P,-12.71199744
40,P,-12.71199744
41,P,-53.63712
42,P,-51.38436096
43,P,-53.63712
44,P,-12.71199744
45,P,-16.19841024
46,P,-32.55773184
47,P,-32.55773184
48,P,-16.19841024
49,P,2.36003328
50,P,-16.19841024
51,P,2.36003328
52,P,-16.19841024
53,P,-16.19841024
54,P,-16.19841024
55,P,-16.19841024
56,P,-16.19841024
57,P,-16.19841024
58,P,-32.55773184
59,P,-32.55773184
60,P,2.36003328
61,P,-12.71199744
62,P,-12.71199744
63,P,-12.71199744
64,P,-12.71199744
65,P,-53.63712
66,P,-53.63712
67,P,-12.71199744
68,P,-12.71199744
69,P,-12.71199744
70,P,-12.71199744
71,P,-12.71199744
72,P,-51.38436096
73,P,-16.19841024
74,P,-51.38436096
75,P,2.36003328
76,P,-16.19841024
77,P,-16.19841024
78,P,-16.19841024
79,P,-16.19841024
80,P,2.36003328
81,P,-32.55773184
82,P,-16.19841024
83,P,-16.19841024
84,P,-53.63712
85,P,-12.71199744
86,P,-12.71199744
87,P,-12.71199744
88,P,-51.38436096
89,P,-12.71199744
90,P,-51.38436096
91,P,-32.55773184
92,P,-16.19841024
93,P,-16.19841024
94,P,-51.38436096
95,P,-16.19841024
96,P,-53.63712
97,P,-51.38436096
98,P,-16.19841024
99,P,2.36003328
100,P,2.36003328
101,P,-32.55773184
102,P,-32.55773184
103,P,-32.55773184
104,P,-32.55773184
105,P,-53.63712
106,P,-16.19841024
107,P,-12.8729088
